State,Population,TotalTweets,TweetsWithEnglish,Lat,Lng
 Acre,790101,,,-9.0238,-70.812
 Alagoas,3321730,,,-9.5713,-36.782
 Amapa,750912,,,0.902,-52.003
 Amazonas,3873743,3506,560,-3.4168,-65.8561
 Bahia,15126371,7537,1198,-12.5797,-41.7007
 Ceara,8842791,1950,301,-5.4984,-39.3206
 Distrito Federal,2852372,2758,417,-15.7998,-47.8645
 Espirito Santo,3885049,3678,514,-19.1834,-40.3089
 Goias,6523222,55,4,-15.827,-49.8362
 Maranhao,6850884,,,-4.9609,-45.2744
 Mato Grosso,3224357,,,-12.6819,-56.9211
 Mato Grosso do Sul,2619657,527,79,-20.7722,-54.7852
 Minas Gerais,20734097,5122,783,-18.5122,-44.555
 Para,8073924,693,115,-1.9981,-54.9306
 Paraiba,3943885,392,60,-7.24,-36.782
 Parana,11081692,1987,273,-25.2521,-52.0215
 Pernambuco,9277727,2685,415,-8.8137,-36.9541
 Piaui,3194718,,,-7.7183,-42.7289
 Rio de Janeiro,16461173,2673,304,-22.9068,-43.1729
 Rio Grande do Norte,3408510,1823,292,-5.4026,-36.9541
 Rio Grande do Sul,11207274,5474,850,-30.0346,-51.2177
 Rondônia,1748531,11717,1829,-11.5057,-63.5806
 Roraima,496936,,,2.7376,-62.0751
 Santa Catarina,6727148,3561,544,-27.2423,-50.2189
 Sao Paulo,44035304,20439,4177,-23.5505,-46.6333
 Sergipe,2219574,171,33,-10.5741,-37.3857
 Tocantins,1496880,171,30,-10.1753,-48.2982
